City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nadi,-17.8,177.4167,21.0,88,20,0.0,FJ,22-07-2023
1,puerto natales,-51.7236,-72.4875,-3.48,93,100,0.81,CL,22-07-2023
2,adamstown,-25.066,-130.1015,20.76,68,100,9.93,PN,22-07-2023
3,edinburgh of the seven seas,-37.0676,-12.3116,12.83,75,91,10.0,SH,22-07-2023
4,vila velha,-20.3297,-40.2925,18.3,89,20,1.79,BR,22-07-2023
5,port-aux-francais,-49.35,70.2167,0.76,93,98,1.85,TF,22-07-2023
6,santa elena de uairen,4.6167,-61.1333,18.42,91,14,0.53,VE,22-07-2023
7,ribeira grande,38.5167,-28.7,21.54,88,20,2.68,PT,22-07-2023
8,uturoa,-16.7333,-151.4333,24.62,65,45,5.44,PF,22-07-2023
9,papatowai,-46.5619,169.4708,6.73,82,28,5.99,NZ,22-07-2023
10,badger,64.8,-147.5333,21.95,65,0,2.06,US,22-07-2023
11,zhangatas,43.5667,69.75,35.91,15,12,6.27,KZ,22-07-2023
12,waitangi,-43.9535,-176.5597,11.57,93,100,1.79,NZ,22-07-2023
13,margaret river,-33.95,115.0667,15.54,65,19,3.37,AU,22-07-2023
14,hermanus,-34.4187,19.2345,12.19,58,100,3.35,ZA,22-07-2023
15,saipan,15.1355,145.701,29.39,100,75,5.14,MP,22-07-2023
16,fale old settlement,-9.3852,-171.2468,28.5,73,7,3.65,TK,22-07-2023
17,sitka,57.0531,-135.33,14.94,82,100,1.54,US,22-07-2023
18,qaqortoq,60.7167,-46.0333,7.9,91,53,0.72,GL,22-07-2023
19,labrador city,52.9463,-66.9114,13.95,94,100,0.0,CA,22-07-2023
20,pathein,16.7833,94.7333,29.9,74,74,3.43,MM,22-07-2023
21,trincomalee,8.5711,81.2335,33.15,49,100,6.4,LK,22-07-2023
22,epe,6.5841,3.9834,25.83,85,100,2.74,NG,22-07-2023
23,albany,42.6001,-73.9662,17.67,93,0,0.45,US,22-07-2023
24,keflavik,64.0049,-22.5624,12.24,76,100,4.12,IS,22-07-2023
25,mount gambier,-37.8333,140.7667,9.67,95,81,2.42,AU,22-07-2023
26,hamilton,39.1834,-84.5333,18.47,92,0,2.57,US,22-07-2023
27,east london,-33.0153,27.9116,22.52,49,0,6.17,ZA,22-07-2023
28,jiuquan,39.7432,98.5174,34.07,8,7,4.04,CN,22-07-2023
29,college,64.8569,-147.8028,21.99,59,20,2.06,US,22-07-2023
30,hadibu,12.65,54.0333,27.32,71,87,14.72,YE,22-07-2023
31,longyearbyen,78.2186,15.6401,6.88,85,100,0.89,SJ,22-07-2023
32,yellowknife,62.456,-114.3525,16.29,59,100,3.6,CA,22-07-2023
33,armacao de buzios,-22.7469,-41.8817,14.03,78,1,5.53,BR,22-07-2023
34,utrik,11.2278,169.8474,28.04,77,100,7.11,MH,22-07-2023
35,loreto,22.2667,-101.9667,17.27,69,26,3.16,MX,22-07-2023
36,al ghayzah,16.2079,52.176,29.84,70,72,5.38,YE,22-07-2023
37,seven pagodas,12.6264,80.1722,34.03,52,85,8.45,IN,22-07-2023
38,baturite,-4.3286,-38.8847,20.02,86,0,1.8,BR,22-07-2023
39,constantia,44.1833,28.65,31.5,59,30,8.61,RO,22-07-2023
40,georgetown,5.4112,100.3354,30.97,74,20,6.17,MY,22-07-2023
41,grytviken,-54.2811,-36.5092,-2.9,81,100,4.81,GS,22-07-2023
42,cao bang,22.6667,106.25,34.03,59,75,2.16,VN,22-07-2023
43,akhmim,26.5622,31.745,37.22,12,0,6.63,EG,22-07-2023
44,arzgir,45.3728,44.2206,30.81,38,0,3.98,RU,22-07-2023
45,bredasdorp,-34.5322,20.0403,10.92,59,100,1.62,ZA,22-07-2023
46,itoman,26.1247,127.6694,32.01,74,75,5.66,JP,22-07-2023
47,rio grande,-32.035,-52.0986,16.08,90,100,5.71,BR,22-07-2023
48,whitehorse,60.7161,-135.0538,16.43,79,75,2.06,CA,22-07-2023
49,marica,-22.9194,-42.8186,18.95,83,11,4.84,BR,22-07-2023
50,mancio lima,-7.6142,-72.8958,22.86,74,56,0.61,BR,22-07-2023
51,safi,32.1667,-8.8333,20.62,66,27,6.58,MA,22-07-2023
52,dolores,-36.3132,-57.6792,18.11,95,100,1.89,AR,22-07-2023
53,kodiak,57.79,-152.4072,10.73,87,0,1.54,US,22-07-2023
54,ushuaia,-54.8,-68.3,-5.46,80,97,1.81,AR,22-07-2023
55,kingston,17.997,-76.7936,27.53,82,20,1.03,JM,22-07-2023
