City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,21.02,30,5,6.89,RU,08-07-2023
1,cody,44.5263,-109.0565,13.34,78,0,2.57,US,08-07-2023
2,stanley,54.868,-1.6985,25.85,54,20,2.57,GB,08-07-2023
3,edinburgh of the seven seas,-37.0676,-12.3116,13.83,81,88,9.61,SH,08-07-2023
4,tralee,52.2704,-9.7026,16.14,77,40,5.66,IE,08-07-2023
5,kavaratti,10.5669,72.642,28.15,78,100,8.35,IN,08-07-2023
6,bethel,41.3712,-73.414,22.89,91,75,0.0,US,08-07-2023
7,mount gambier,-37.8333,140.7667,10.98,69,100,7.33,AU,08-07-2023
8,adamstown,-25.066,-130.1015,21.27,71,100,6.84,PN,08-07-2023
9,vilyuchinsk,52.9306,158.4028,13.15,93,100,0.96,RU,08-07-2023
10,qoryooley,1.7878,44.53,30.08,48,55,9.36,SO,08-07-2023
11,blackmans bay,-43.0167,147.3167,8.07,86,83,6.84,AU,08-07-2023
12,yellowknife,62.456,-114.3525,15.29,67,40,2.57,CA,08-07-2023
13,puerto deseado,-47.7503,-65.8938,0.1,76,0,5.23,AR,08-07-2023
14,kruisfontein,-34.0033,24.7314,16.6,46,14,5.99,ZA,08-07-2023
15,swakopmund,-22.6833,14.5333,15.47,82,0,0.89,NA,08-07-2023
16,del rio,29.3627,-100.8968,26.06,81,75,4.12,US,08-07-2023
17,grytviken,-54.2811,-36.5092,-5.79,83,34,4.92,GS,08-07-2023
18,waitangi,-43.9535,-176.5597,11.23,66,72,8.48,NZ,08-07-2023
19,puerto natales,-51.7236,-72.4875,-2.94,92,15,1.34,CL,08-07-2023
20,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,100,3.0,RU,08-07-2023
21,zaozersk,69.4005,32.4476,11.44,61,32,5.3,RU,08-07-2023
22,ushuaia,-54.8,-68.3,3.81,75,75,10.8,AR,08-07-2023
23,touros,-5.1989,-35.4608,24.45,86,83,3.19,BR,08-07-2023
24,tiksi,71.6872,128.8694,2.99,68,100,8.78,RU,08-07-2023
25,port-aux-francais,-49.35,70.2167,3.06,62,100,9.58,TF,08-07-2023
26,talnakh,69.4865,88.3972,23.45,33,93,7.09,RU,08-07-2023
27,klyuchi,52.2667,79.1667,26.23,52,91,7.18,RU,08-07-2023
28,salinopolis,-0.6136,-47.3561,25.28,85,13,3.85,BR,08-07-2023
29,linxi,39.7,118.4333,31.81,41,71,4.4,CN,08-07-2023
30,thal,35.4791,72.2439,22.38,54,8,3.19,PK,08-07-2023
31,christchurch,-43.5333,172.6333,11.62,91,100,2.68,NZ,08-07-2023
32,daru,-9.0763,143.2092,25.07,86,100,7.8,PG,08-07-2023
33,praia da vitoria,38.7333,-27.0667,20.98,73,40,3.12,PT,08-07-2023
34,mont-dore,-22.2833,166.5833,23.33,99,100,3.34,NC,08-07-2023
35,lihue,21.9789,-159.3672,26.77,75,75,8.75,US,08-07-2023
36,bredasdorp,-34.5322,20.0403,12.69,73,36,10.17,ZA,08-07-2023
37,margate,51.3813,1.3862,22.17,73,19,5.09,GB,08-07-2023
38,hithadhoo,-0.6,73.0833,28.1,68,100,1.93,MV,08-07-2023
39,coxim,-18.5067,-54.76,17.95,53,2,1.59,BR,08-07-2023
40,chengtangcun,35.0771,117.1518,39.08,21,40,3.52,CN,08-07-2023
41,kinablangan,7.6947,126.5503,27.77,81,100,1.2,PH,08-07-2023
42,kodiak,57.79,-152.4072,7.73,87,0,2.06,US,08-07-2023
43,general cabrera,-32.8131,-63.8724,6.81,89,0,2.27,AR,08-07-2023
44,jamestown,42.097,-79.2353,13.17,98,0,0.45,US,08-07-2023
45,vila franca do campo,37.7167,-25.4333,20.23,59,60,1.73,PT,08-07-2023
46,quiberon,47.4841,-3.1196,23.95,82,76,5.37,FR,08-07-2023
47,pak phanang,8.3511,100.202,27.01,81,100,2.02,TH,08-07-2023
48,makoua,0.0069,15.6333,29.69,54,78,2.07,CG,08-07-2023
49,sao gabriel da cachoeira,-0.1303,-67.0892,22.11,100,98,0.8,BR,08-07-2023
50,port lincoln,-34.7333,135.8667,13.75,73,52,8.04,AU,08-07-2023
51,al hazm,16.1641,44.7769,39.54,6,17,3.1,YE,08-07-2023
52,hawaiian paradise park,19.5933,-154.9731,22.8,96,100,2.57,US,08-07-2023
53,nizhnevartovsk,60.9344,76.5531,23.01,53,20,4.02,RU,08-07-2023
54,tibati,6.4667,12.6333,21.24,91,100,1.23,CM,08-07-2023
55,sassandra,4.95,-6.0833,25.41,80,100,3.25,CI,08-07-2023
56,ilulissat,69.2167,-51.1,6.01,93,100,2.57,GL,08-07-2023
57,port mathurin,-19.6833,63.4167,23.63,69,30,11.84,MU,08-07-2023
58,albany,42.6001,-73.9662,20.73,94,100,1.4,US,08-07-2023
59,anadyr,64.75,177.4833,8.28,87,75,4.0,RU,08-07-2023
60,minas de marcona,-15.2119,-75.1103,10.56,92,33,4.28,PE,08-07-2023
61,grand-bassam,5.2118,-3.7388,26.98,83,100,3.87,CI,08-07-2023
62,bubaque,11.2833,-15.8333,27.25,73,98,2.27,GW,08-07-2023
63,west island,-12.1568,96.8225,26.99,78,40,5.66,CC,08-07-2023
64,margaret river,-33.95,115.0667,15.45,74,100,5.41,AU,08-07-2023
65,saldanha,-33.0117,17.9442,13.65,70,11,9.78,ZA,08-07-2023
66,stephenville,32.2207,-98.2023,26.8,76,40,1.54,US,08-07-2023
67,punta del este,-34.9667,-54.95,11.04,79,0,3.13,UY,08-07-2023
68,bilibino,68.0546,166.4372,19.15,38,44,2.2,RU,08-07-2023
69,guiuan,11.0333,125.7247,29.21,75,100,4.5,PH,08-07-2023
70,utrik,11.2278,169.8474,28.09,82,56,8.72,MH,08-07-2023
71,wailua homesteads,22.0669,-159.378,26.44,81,75,8.75,US,08-07-2023
72,basco,20.4487,121.9702,29.64,71,12,2.91,PH,08-07-2023
73,happy valley-goose bay,53.3168,-60.3315,18.17,82,75,0.0,CA,08-07-2023
74,jimbolia,45.7914,20.7172,26.27,46,0,5.32,RO,08-07-2023
75,weno,7.4515,151.8468,25.97,94,100,6.69,FM,08-07-2023
